author,video_count,median_engagement_rate,median_views,max_views,median_efficiency,author_verified,confidence,already_large_reach,segment,promising_score
zackohardin,1,0.37225763612217794,75300.0,75300,4.943660506270623e-06,False,low,False,Rising,0.14890305444887117
jadeanna_,3,0.14723756019261638,598200.0,623000,2.3633637270082887e-07,False,high,False,Rising,0.14723756019261638
maxzg7,3,0.14541401273885352,188400.0,230700,7.431632755250647e-07,False,high,False,Rising,0.14541401273885352
ahmad_stars_1,1,0.35944444444444446,18000.0,18000,1.9969135802469135e-05,False,low,False,Rising,0.14377777777777778
cinsubun_10,1,0.35464088397790056,18100.0,18100,1.95934190043039e-05,False,low,False,Rising,0.14185635359116022
jesus_reina.oficial,1,0.3515015015015015,66600.0,66600,5.2778003228453675e-06,False,low,False,Rising,0.14060060060060062
kim.sahar,1,0.34955777460770326,70100.0,70100,4.986558838911601e-06,False,low,False,Rising,0.1398231098430813
cesarshow2,2,0.1745583593516103,85550.0,103000,2.1235811535093336e-06,False,medium,False,Rising,0.13964668748128825
iamsarkis,2,0.17142890569054242,192350.0,223500,9.417955939833703e-07,False,medium,False,Rising,0.13714312455243394
manoulucia,3,0.13571641791044775,67000.0,89900,2.0256181777678768e-06,False,high,False,Rising,0.13571641791044775
ryan_fudge_1012,1,0.3358197821870804,6703.0,6703,5.009992274907958e-05,False,low,False,Rising,0.13432791287483217
big_shouse,2,0.16772825787778853,124250.0,184200,1.9059741408461667e-06,False,medium,False,Rising,0.13418260630223083
ace_equestrian,1,0.32759036144578313,132800.0,132800,2.4667948904049933e-06,False,low,False,Rising,0.13103614457831325
alexjfish27,2,0.16315257206561554,71450.0,80500,2.4069323435611685e-06,False,medium,False,Rising,0.13052205765249245
chelseamelody,2,0.16218997563514437,180350.0,260800,1.1802993258441174e-06,False,medium,False,Rising,0.1297519805081155
jonbezrouch,2,0.16144916373239437,60400.0,64000,2.689689419804478e-06,False,medium,False,Rising,0.1291593309859155
crazyedits2412,1,0.3224385510996119,154600.0,154600,2.0856309902950317e-06,False,low,False,Rising,0.12897542043984475
zohaib_ali05,1,0.3193449334698055,977.0,977,0.00032686277734882857,False,low,False,Rising,0.12773797338792223
immaculatebae,1,0.31747252747252747,254800.0,254800,1.2459675332516777e-06,False,low,False,Rising,0.126989010989011
fananime407,1,0.3133498759305211,40300.0,40300,7.77543116452906e-06,False,low,False,Rising,0.12533995037220844
plantain._man,2,0.15628894493496642,357200.0,611100,6.134150082388371e-07,False,medium,False,Rising,0.12503115594797315
jesungiya,1,0.3067990909090909,1100000.0,1100000,2.789082644628099e-07,False,low,False,Rising,0.12271963636363636
susi.vidal,2,0.15328687954229164,118200.0,178400,1.7038443563280638e-06,False,medium,False,Rising,0.12262950363383332
8bitrainbow,1,0.3055791962174941,42300.0,42300,7.224094473226811e-06,False,low,False,Rising,0.12223167848699763
rubiixartxo,1,0.3044296788482835,90300.0,90300,3.37131427295995e-06,False,low,False,Rising,0.1217718715393134
_do_nya_,2,0.15218895791897932,176751.5,346600,1.4949659439251703e-05,False,medium,False,Rising,0.12175116633518346
lawliet18x,1,0.3019789593403469,351700.0,351700,8.58626554848868e-07,False,low,False,Rising,0.12079158373613877
irmaknol1,2,0.14916755224938008,222700.0,376400,1.382634407270784e-06,False,medium,False,Rising,0.11933404179950408
sotokun_yt,1,0.2980535966149506,70900.0,70900,4.203858908532448e-06,False,low,False,Rising,0.11922143864598025
animekiing,2,0.14891477860118973,76950.0,90200,1.9566643159493995e-06,False,medium,False,Rising,0.1191318228809518
macsmisadventures,1,0.2975288092189501,78100.0,78100,3.8095878261069155e-06,False,low,False,Rising,0.11901152368758004
corpse_clipz,1,0.29703307553068947,607700.0,607700,4.887824181844487e-07,False,low,False,Rising,0.1188132302122758
elirose.equestrian,2,0.14740025386437136,133050.0,201400,1.4840634533005605e-06,False,medium,False,Rising,0.11792020309149709
_itsnate,3,0.16759776536312848,379400.0,821200,4.000226198511703e-07,True,high,False,Proven,0.11731843575418993
milkteaedits_,1,0.2929199475065617,152400.0,152400,1.922046899649355e-06,False,low,False,Rising,0.11716797900262468
sxck.aesxthetics,1,0.2923193333333333,1500000.0,1500000,1.9487955555555555e-07,False,low,False,Rising,0.11692773333333334
kevinuramavfx,1,0.2879016393442623,30500.0,30500,9.439398011287288e-06,False,low,False,Rising,0.11516065573770491
faheemsajjad07,3,0.1145578231292517,12800.0,132300,9.77783203125e-06,False,high,False,Rising,0.1145578231292517
blwckmoon,1,0.2836086701816052,170700.0,170700,1.661445050858847e-06,False,low,False,Rising,0.11344346807264208
pedrosousa751,1,0.28055970149253734,26800.0,26800,1.046864557807975e-05,False,low,False,Rising,0.11222388059701494
creatingherself,1,0.2801185770750988,75900.0,75900,3.690626838934108e-06,False,low,False,Rising,0.11204743083003953
x.mattharnacke.x,1,0.28005607476635513,53500.0,53500,5.234692986287012e-06,False,low,False,Rising,0.11202242990654206
sant2307,1,0.2793691899070385,301200.0,301200,9.27520550820181e-07,False,low,False,Rising,0.11174767596281542
reyvoices,1,0.27926553672316384,123900.0,123900,2.253959134165971e-06,False,low,False,Rising,0.11170621468926555
caitlinjs,2,0.1387613150547485,46550.0,64800,3.4259686949772533e-06,False,medium,False,Rising,0.11100905204379881
riovacci,9,0.11069333333333334,762500.0,2000000,7.379555555555556e-08,False,high,False,Rising,0.11069333333333334
kylethomas,4,0.15609206418581417,1050000.0,1800000,1.4044573966942149e-07,True,high,False,Proven,0.10926444493006991
kadds.pov,2,0.1365330510593472,70150.0,76600,1.898604150416733e-06,False,medium,False,Rising,0.10922644084747778
timmytimmadome,28,0.10915491182813888,84250.0,209700,1.1562044221410943e-06,False,high,False,Rising,0.10915491182813888
shingod420,1,0.2711034482758621,29000.0,29000,9.348394768133175e-06,False,low,False,Rising,0.10844137931034484
colleentalks,1,0.2710378912685338,60700.0,60700,4.46520413951456e-06,False,low,False,Rising,0.10841515650741351
